Alpha,C_P001,C_P002,C_P003,C_P004,C_P005,C_P006,C_P007,C_P008,C_P009,C_P010,C_P011,C_P012,C_P013,C_P014,C_P015,C_P016,C_P017,C_P018,C_P019,C_P020,C_P021,C_P022,C_P023,C_P024,C_P025
degrees,,,,,,,,,,,,,,,,,,,,,,,,,
13,-4.994,-3.746,-4.628,-2.265,-1.920,-1.552,-1.309,-1.146,-0.927,-0.750,-0.656,-0.557,-0.447,-0.350,-0.286,-0.273,-0.273,-0.284,-0.254,-0.239,-0.243,-0.258,-0.238,-0.257,-0.215
13.5,-4.601,-3.608,-4.491,-2.230,-1.832,-1.454,-1.211,-1.038,-0.812,-0.626,-0.533,-0.454,-0.371,-0.322,-0.288,-0.287,-0.297,-0.314,-0.286,-0.271,-0.277,-0.293,-0.273,-0.295,-0.255
14,-4.256,-3.323,-4.165,-2.300,-1.721,-1.349,-1.098,-0.917,-0.695,-0.522,-0.454,-0.405,-0.353,-0.326,-0.300,-0.310,-0.322,-0.339,-0.312,-0.299,-0.306,-0.322,-0.305,-0.327,-0.281
14.5,-1.651,-1.057,-1.303,-1.326,-1.327,-1.207,-1.165,-1.137,-1.029,-0.939,-0.922,-0.887,-0.828,-0.766,-0.701,-0.671,-0.650,-0.622,-0.560,-0.512,-0.482,-0.467,-0.418,-0.408,-0.314
15,-1.449,-0.804,-0.958,-1.002,-1.049,-0.957,-0.930,-0.960,-0.895,-0.846,-0.864,-0.856,-0.820,-0.782,-0.738,-0.717,-0.702,-0.692,-0.638,-0.594,-0.569,-0.555,-0.506,-0.488,-0.373
15.5,-1.378,-0.676,-0.801,-0.838,-0.894,-0.813,-0.786,-0.822,-0.766,-0.730,-0.762,-0.770,-0.747,-0.723,-0.694,-0.690,-0.690,-0.690,-0.647,-0.613,-0.598,-0.592,-0.552,-0.542,-0.417
16,-1.312,-0.546,-0.646,-0.686,-0.749,-0.675,-0.655,-0.697,-0.646,-0.618,-0.661,-0.686,-0.677,-0.669,-0.658,-0.665,-0.676,-0.686,-0.655,-0.631,-0.625,-0.626,-0.587,-0.577,-0.442
15.5,-1.361,-0.638,-0.742,-0.779,-0.842,-0.768,-0.742,-0.782,-0.729,-0.694,-0.738,-0.748,-0.735,-0.711,-0.688,-0.686,-0.687,-0.687,-0.645,-0.610,-0.594,-0.585,-0.545,-0.536,-0.417
15,-1.476,-0.852,-1.068,-1.106,-1.142,-1.039,-0.993,-1.004,-0.925,-0.849,-0.864,-0.851,-0.812,-0.765,-0.716,-0.691,-0.671,-0.655,-0.603,-0.560,-0.539,-0.524,-0.476,-0.464,-0.359
14.5,-1.690,-1.106,-1.413,-1.419,-1.383,-1.240,-1.167,-1.150,-1.037,-0.939,-0.918,-0.871,-0.812,-0.751,-0.688,-0.653,-0.624,-0.601,-0.538,-0.493,-0.467,-0.449,-0.399,-0.391,-0.298
