Alpha,q_inf,"P_s, inf",U inf,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109
degrees,,,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
4,243.29,757.26,20.350,5.95,13.46,13.35,11.48,11,13.55,14.18,10.62,8.56,8.27,7.81,14.51
3,244.64,755.91,20.406,6.52,13.3,13.23,11.46,11.1,13.49,14.29,10.92,8.93,8.76,8.31,14.21
2,241.52,759.03,20.275,6.82,12.98,12.96,11.36,11.19,13.54,14.83,11.28,9.08,9.08,8.66,13.78
1,246.71,753.84,20.492,7.34,12.73,12.78,11.21,11.11,13.38,14.84,11.3,9.42,9.47,9.02,13.42
0,240.75,759.80,20.243,8.38,12.56,12.62,11.24,11.23,11.81,14.69,10.89,10.19,10.35,9.91,13.02
-1,242.82,757.73,20.330,8.57,11.98,12.06,10.78,10.94,11.35,14.44,10.63,10.17,10.45,9.99,12.33
-2,245.68,754.87,20.450,8.8,11.7,11.8,10.58,10.79,13.36,14.4,10.68,10.22,10.62,10.16,11.99
-3,246.71,753.84,20.492,9,11.44,11.54,10.4,10.73,13.92,14.34,10.27,10.13,10.75,10.31,11.62
-4,247.44,753.11,20.523,8.97,10.83,10.96,9.92,10.35,13.66,13.97,9.43,9.32,10.66,10.24,10.96
-5,245.70,754.85,20.450,9.4,10.26,10.43,9.51,10.03,13.54,13.71,9.79,8.47,10.95,10.58,10.22
-6,243.57,756.98,20.361,9.42,9.26,9.49,8.67,9.39,13.05,13.08,10.02,8.4,10.77,10.5,9.13
