Alpha,q_inf,"P_s, inf",U inf,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096
degrees,,,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
6,239.23,761.32,20.162,289.44,288.21,290.01,257.92,257.52,288.64,293.07,297.66,256.63,287.62,287.76,257.22,254.18,288.88,282.1,293.63,261.75,260.17,260.47,259.81,260.5,262.48,266.77,265.96,254.28,229.59,216.29,225.34,240.71,259.89,267.56,255.61,259.76,263.26,261.12,263.08,263.66,261.37,258.8,258.36,259.78,261.12,262.85,263.79,262.84,261.48,262.39
7,245.51,755.04,20.425,293.9,292.67,294.47,262.51,262.07,293.33,297.34,302.6,260.99,292.07,292.26,261.71,258.82,293.58,286.42,298.04,266.71,264.93,265.19,264.34,264.83,267.39,270.2,259.05,231.42,213.46,225.79,250.14,261.33,268.46,272.37,260.2,265.84,267.35,267.6,269.68,270.27,267.57,265.48,264.5,266.33,267.24,268.75,270.36,269.37,267.76,268.83
8,244.70,755.85,20.400,294.48,293.2,295.04,262.99,262.5,294.01,297.83,303.21,261.52,292.59,292.79,262.42,259.5,294.18,286.93,298.74,267.16,265.44,265.58,264.71,265.43,265.66,256.98,230.16,208.73,218.29,242.78,263.38,264.92,268.91,272.78,260.64,265.77,266.72,267.52,269.49,270.24,267.59,265.37,264.39,266.28,267.18,268.38,270.17,269.38,267.71,268.67
9,241.54,759.01,20.268,293.12,291.63,293.54,261.86,261.18,292.56,296.48,301.54,260.15,291.16,291.38,260.98,258.08,292.66,285.56,297.32,265.65,263.83,264.2,263.27,260.61,248.39,228.64,207.23,204.92,230.13,253.66,266.64,264.06,267.48,271.46,259.25,262.88,266.32,264.46,266.51,266.94,264.44,262.24,261.41,263.23,264.22,265.38,267,266.35,264.71,265.54
10,244.44,756.11,20.380,295.3,294.1,295.86,264.55,263.32,294.87,298.69,304.18,262.39,293.45,293.58,263.12,260.94,295.06,287.73,300.12,268.18,266.34,265.93,261.07,246.48,226,210.27,204.01,211.66,238.11,257.39,268.53,265.95,269.79,273.6,261.48,265.19,267.54,266.99,269.16,269.58,266.94,264.81,263.9,265.7,266.67,267.83,269.69,268.93,267.21,268.34
10.5,241.20,759.35,20.254,289.81,288.43,290.46,259.04,257.65,289.3,293.18,298.01,256.93,287.84,288.05,257.47,255.27,289.24,282.55,294.42,262.45,260.32,258.95,250.51,233.33,213.72,199.82,195.74,202.67,228.18,248.32,260.86,260.27,264.16,268.25,256,262.6,263.36,264.12,266.18,266.6,264.22,262.04,261.21,262.9,263.96,265.04,266.81,265.87,264.46,265.16
11,241.85,758.70,20.281,292.07,290.62,292.74,261.18,260.08,291.54,295.32,300.53,259.11,290.24,290.49,259.8,257.77,291.54,284.78,296.99,264.66,262.01,258.48,246.3,226.26,207.06,195.56,193.82,203.23,229.48,249.36,262.21,262.11,266.29,270.34,258.17,263.92,265.66,265.58,267.67,268.1,265.51,263.48,262.58,264.23,265.23,266.55,268.2,267.39,265.81,266.81
11.5,240.55,760.00,20.226,293.76,292.39,294.21,262.93,261.75,293.2,297.01,302.26,260.71,291.94,292.13,261.58,259.45,293.35,286.28,298.67,266.02,262.59,256.58,240.97,218.26,200.72,192.16,194.39,204.91,230.86,250.44,263.56,263.42,268.04,271.97,259.99,264.52,267.18,266.28,268.24,268.6,266.19,264.21,263.2,264.92,265.79,267.08,268.93,268.04,266.34,267.43
12,240.08,760.47,20.206,292.25,291.03,293.01,261.59,260.43,291.73,295.74,300.64,259.37,290.49,290.8,260.16,258.03,291.91,285.04,297.12,263.68,258.41,248.93,230.87,207.14,192.89,188.43,193.22,205.16,229.96,248.74,260.68,261.48,266.37,270.47,258.41,262.63,265.29,264.35,266.29,266.78,264.2,262.14,261.38,263.04,264.05,265.22,266.98,266.14,264.47,265.5
12.5,240.59,759.96,20.228,291.96,290.73,292.63,261.18,259.93,291.46,295.27,300.25,259.09,290.2,290.32,259.7,257.59,291.57,284.6,296.1,261.86,254.18,241.03,220.9,197.36,186.61,185.53,193.51,206.74,231.99,248.74,260.64,261,266.01,270.29,258.12,263.01,265.22,264.56,266.56,267,264.52,262.49,261.52,263.32,264.28,265.51,267.17,266.38,264.76,265.66
